State/Territory,Abbreviation,Postcode Low,Postcode High
New South Wales,NSW,1000,1999
New South Wales,NSW,2000,2599
New South Wales,NSW,2619,2899
New South Wales,NSW,2921,2999
Australian Capital Territory,ACT,200,299
Australian Capital Territory,ACT,2600,2618
Australian Capital Territory,ACT,2900,2920
Victoria,VIC,3000,3999
Victoria,VIC,8000,8999
Queensland,QLD,4000,4999
Queensland,QLD,9000,9999
South Australia,SA,5000,5799
South Australia,SA,5800,5999
Western Australia,WA,6000,6797
Western Australia,WA,6800,6999
Tasmania,TAS,7000,7799
Tasmania,TAS,7800,7999
Northern Territory,NT,800,899
Northern Territory,NT,900,999
