X,Y,osm_id,osm_type,completeness,#meta +operator,#meta +health_amenity_type,#meta+dispensing,#meta +speciality,#meta+is_in_health_zone,#capacity +staff,#loc+amenity,changeset_id,#access +hours,changeset_timestamp,#meta+emergency,#contact +url,#meta +operator_type,#meta +id,#meta+water_source,changeset_version,addr_street,#meta+electricity,#contact +phone,#meta+insurance,#status+operational_status,#meta+is_in_health_area,addr_postcode,addr_city,#meta+wheelchair,#capacity +beds,changeset_user,#geo+bounds+url,addr_housenumber,#meta+healthcare,#loc +name
,,419608150,way,21,,,,,,,hospital,53307476,,2017/10/28 02:01:54,,,,cc1a0f25d7b94a719019a03e2dd102dd,,2,Wyvern Avenue,,,,,,2067,Chatswood,,,aharvey,,10,,Hirondelle Private Hospital
,,589637084,way,25,,,yes,,,,pharmacy,59123075,,2018/05/20 13:25:24,,,,3ae11b0d3475411c8e250e54eac6dffa,,1,Somerville Road,,,,,,3012,,,,bobtheo,,349,pharmacy,Kingsville Pharmacy
153.170502171192,-27.4451369246502,5336587810,node,25,,,,surgery,,,hospital,89025176,,2020/08/06 08:35:03,,,,a1d41b1afb8b41faa3246ec2667d418d,,5,Tingal Road,,,,,,4178,,,,Joel Hansen,,138,hospital,Baydental Wynnum
151.153454337066,-33.9598077191523,768580847,node,21,,,,,,,pharmacy,89496719,,2020/08/17 06:12:27,,,,f89a1d18dc2b4b45a8a485222cf08c4b,,2,Bay Street,,,,,,2216,,,,BlueishWater3,,279,pharmacy,Starchem Discount Pharmacy
151.206569535467,-33.8758597737463,6738140586,node,9,,,,,,,pharmacy,73653729,,2019/08/23 08:17:50,,,,5e3b5192d6614014876e440d4eb010ec,,1,,,,,,,,,,,dorian Pineapples,,,,Chemist Warehouse
150.985391646381,-33.8538959184895,3237425513,node,18,,,,,,,pharmacy,27498173,,2014/12/16 03:52:03,,,,ef93171627c547739b392e612209701c,,1,Guildford Road,,,,,,2161,,,,cleary,survey,356,,
145.214961434043,-37.9899098296384,5285524991,node,15,,,,,,,clinic,58460677,,2018/04/27 01:38:24,,,,8dc14e66d62f4aaf87fe9c92ea3a7881,,2,Lonsdale Street ,,,,,,,,,,Pakenhamin,,176,,Modern Medical
145.2372507586,-38.4494851382335,2611190987,node,18,,,,,,,hospital,28832251,,2015/02/13 23:11:16,,,,c5307b90c9b149b2b3a0fc4b50bc66ac,,2,Warley Avenue,,,,,,3922,Cowes,,,Leon K,,14,,
146.537526932186,-38.1975301579795,7500828749,node,12,,,,,,,clinic,84936971,,2020/05/09 12:52:02,,,,2bc25c0d75704cb780d9249f3be96871,,1,,,,,,,,,,,Ewen Hill,,,clinic,SKINN
153.045548446719,-27.5882498747109,2262372111,node,15,,,,,,,hospital,15685241,,2013/04/11 06:56:43,no,,,781af1bef5624cb09216392394a48fa3,,1,,,,,,,,,,,JonasN78,Survey,,,Sunnybank Hills Ambulance Station
144.831810474566,-37.7855396680718,5824764111,node,18,,,,general,,,,80499415,,2020/02/03 21:34:45,,,,c4ac263146e54c718c681e627d59abe0,,2,Hampshire Road,,,,,,,,,,thetornado76,,217,clinic,Sunshine Central Medical Clinic
145.238317020503,-38.4548808207634,7455641962,node,31,PhysioChoice,,,physiotherapy,,,,84592716,"Mo–We 8:00-19:00; Th 8:30-17:30; Fr 8:00-18:30",2020/05/04 04:43:01,,,,55a7fb8eff4f4e26aa38be4d680f6743,,4,Thompson Avenue,,,,,,3922,,yes,,marketing_gpg,,146,physiotherapist,Gippsland Physiotherapy Group Cowes
,,352747831,way,21,,,,,,,doctors,31862557,,2015/06/10 07:19:20,,,,63547b99028a48528cc8667e1221cb40,,1,Station Street,,,,,,2233,Engadine,,,maxim1975,,3,,Engadine Family Medical Practice
,,42744189,way,15,,,,,,,hospital,65627130,,2018/12/20 01:06:05,private,,,52cdb7f51158401fbd9a91b59f19f074,,6,,,,,,,,,,,matthewsheffield,vicmap,,,Northpark Private Hospital
115.788220767709,-32.0355759678083,2927257252,node,21,,,,,,,clinic,66152074,,2019/01/09 07:34:29,,,,01efb4efb7074965adb67e00931d8943,,2,Canning Highway,,,,,,6154,Alfred Cove,,,exiy,,571A,,Feet First Podiatry Perth
115.938158347153,-32.1063472261493,1226177786,node,6,,,,,,,pharmacy,14294060,,2012/12/16 14:41:16,,,,c867c72f622e4750917185dab0e209c3,,2,,,,,,,,,,,sb9576,,,,
150.89995775718,-33.7617818200977,2063993517,node,15,,,,chiropractic,,,doctors,14255228,,2012/12/13 00:16:05,,,,2d56426ec4ff4cd88bec86635eb210db,,1,,,,,,,,,,,riblit,local knowledge,,alternative,
,,660856129,way,15,,,,,,,clinic,66061766,,2019/01/06 02:57:38,,,,0beba668c18548ef8accd82ce0cdee2e,,1,,,,,,,,,,,CloCkWeRX,,171,clinic,Maylands Medical Clinic
150.928047358733,-33.8843571795456,5298897291,node,9,,,,,,,clinic,54834003,,2017/12/22 07:16:00,,,,823cb11d4a1a43b9964a3c118aff9dfd,,1,,,,,,,,,,,austino,,,clinic,
145.116887634857,-37.9285253808423,5242014095,node,9,,,,,,,dentist,53989513,,2017/11/22 01:32:08,,,,d0a519493a784abca1e7000b95acfde6,,1,,,,,,,,,,,TuanIfan,,,,Clayton Denture Clinic
,,768417969,way,15,,,,,,,clinic,80403736,Mo-Fr 08:00-21:00,2020/02/01 09:24:55,,,,830aad585b444958983df2f968cf6c57,,2,,,,,,,,,,,Roboticist_Mark,,,clinic,Tunstall Square Family Medical Centre
