"osm_id","amenity","house_number","road","suburb","city_district","district","state","postcode","country","iso3166"
5300351753,"Algester Star Medical Centre","","Spurwood Street","Algester","Algester","Greater Brisbane","Queensland","4115","Australia","AU-QLD"
5336587810,"Bay Dental Wynnum","138","Tingal Road","Wynnum","Wynnum","Greater Brisbane","Queensland","4178","Australia","AU-QLD"
768580847,"Starchem Discount Pharmacy","279","Bay Street","Brighton-Le-Sands","","","New South Wales","2216","Australia","AU-NSW"
6738140586,"","614-624","George Street","Sydney","","","New South Wales","2000","Australia","AU-NSW"
3237425513,"","356","Guildford Road","Guildford","","","New South Wales","2161","Australia","AU-NSW"
5285524991,"Modern Medical","176","Lonsdale Street","Dandenong","","","Victoria","3177","Australia","AU-VIC"
2611190987,"Bass Coast Community Health","14","Warley Avenue","","","","Victoria","3922","Australia","AU-VIC"
7500828749,"SKINN","","Hotham Street","","","","Victoria","3844","Australia","AU-VIC"
2262372111,"","169","Jackson Road","Sunnybank Hills","Sunnybank Hills","Greater Brisbane","Queensland","4109","Australia","AU-QLD"
5824764111,"","217","Hampshire Road","Sunshine","","","Victoria","3020","Australia","AU-VIC"
7455641962,"","146","Thompson Avenue","","","","Victoria","3922","Australia","AU-VIC"
2927257252,"Feet First Podiatry Perth","571A","Canning Highway","Bicton","","","Western Australia","6154","Australia","AU-WA"
1226177786,"","","Ranford Road","Harrisdale","","","Western Australia","6110","Australia","AU-WA"
2063993517,"","","Richmond Rd Shared Path","Marayong","","","New South Wales","2148","Australia","AU-NSW"
5298897291,"Excellent Coffee House","194","Canley Vale Road","Canley Heights","","","New South Wales","2166","Australia","AU-NSW"
5242014095,"Clayton Denture Clinic","","Centre Road","Clayton South","","","Victoria","3169","Australia","AU-VIC"
441012086,"","138","Maundrell Terrace","Chermside West","Chermside West","","Queensland","4032","Australia","AU-QLD"
2475151589,"Mackie Road Consulting Suites","74","Mackie Road","Bentleigh East","","","Victoria","3165","Australia","AU-VIC"
6965469489,"Wagin Pharmacy","","Collie Lake King","","","","Western Australia","","Australia","AU-WA"
5045644127,"Robina Hospital","2","Bayberry Lane","Robina","Robina","","Queensland","4226","Australia","AU-QLD"
2604239951,"Walton Bridge Medical Centre","","Waterworks Road","The Gap","The Gap","Greater Brisbane","Queensland","4061","Australia","AU-QLD"
2428758437,"","","Alan Rose Drive","","","","Western Australia","6348","Australia","AU-WA"
2174684611,"","50","Bourke Street","Melbourne","","","Victoria","3000","Australia","AU-VIC"
5719707959,"Carina Day & Night Pharmacy","","Old Cleveland Road","Carina","Carina","Greater Brisbane","Queensland","4152","Australia","AU-QLD"
7057810810,"Faulconbridge Health Centre","441","Great Western Highway","","","","New South Wales","2776","Australia","AU-NSW"
1700534544,"Bourke District Hospital","","Tarcoon Street","","","","New South Wales","2840","Australia","AU-NSW"
60788134,"","110","Galston Road","Hornsby Heights","","","New South Wales","2077","Australia","AU-NSW"
5213286324,"The Loft","","Adelaide Street","","","","Western Australia","6959","Australia","AU-WA"
1528933383,"SuperPharmacyPlus","621","Stafford Road","Stafford","Stafford","","Queensland","4053","Australia","AU-QLD"
253086883,"Bankstown Hospital","","Eldridge Road","Bankstown","","","New South Wales","2200","Australia","AU-NSW"
359902119,"Star Discount Chemist","","Harrison Street","Cardiff","","","New South Wales","2285","Australia","AU-NSW"
3748951387,"","","Cattermull Avenue","","","","Queensland","4670","Australia","AU-QLD"
2015911841,"Chapman Medical Centre","","Perry Drive","Chapman","","","","2611","Australia","AU-ACT"
1546982742,"Post Office Square Pharmacy","","Queen Street","Brisbane City","Brisbane City","Greater Brisbane","Queensland","4001","Australia","AU-QLD"
2608996402,"S W Orthodontics","","High Street","","Victoria Point","Greater Brisbane","Queensland","4165","Australia","AU-QLD"
7143739959,"Portarlington Pharmacy","90","Newcombe Street","","","","Victoria","3223","Australia","AU-VIC"
5213706400,"Supps 247","377","Springvale Road","Springvale","","","Victoria","3171","Australia","AU-VIC"
4737989258,"Hospital Clinic","","Sooning Street","Nelly Bay","Nelly Bay","","Queensland","4819","Australia","AU-QLD"
3722290987,"Woolworths Parking","","Koo Wee Rup Rail Trail","","","","Victoria","3981","Australia","AU-VIC"
4816658283,"","109","Gladstone Road","Highgate Hill","Highgate Hill","Greater Brisbane","Queensland","4101","Australia","AU-QLD"
3309419832,"Parkmore Medical Centre","","Finisterre Drive","Keysborough","","","Victoria","3173","Australia","AU-VIC"
1105784312,"Tathra Pharmacy","","Andy Poole Drive","","","","New South Wales","2550","Australia","AU-NSW"
5319369478,"Chiropractic","","Landsborough-Maleny Road","","Landsborough","","Queensland","4550","Australia","AU-QLD"
5306141852,"Willsmere Dental","83","Willsmere Road","Kew","","","Victoria","3101","Australia","AU-VIC"
2038128947,"Atitjere Health Centre","","Sphene Street","","Atitjere","","","","Australia","AU-NT"
290098871,"Chemist Warehouse","","Range Road","","","","New South Wales","2529","Australia","AU-NSW"
7405502964,"Body Mind Medical","3","Morgan Terrace","Bardon","Bardon","Greater Brisbane","Queensland","4065","Australia","AU-QLD"
2019456453,"Pizza Hut","","Balaclava Road","Eastwood","","","New South Wales","2122","Australia","AU-NSW"
6442478881,"Priceline Pharmacy","","Langtree Avenue","","","","Victoria","3502","Australia","AU-VIC"
6714767685,"Emerald Medical Centre","","Longueville Road","Lane Cove","","","New South Wales","2066","Australia","AU-NSW"
598736373,"","","Cambridge Parade","Manly","Manly","Greater Brisbane","Queensland","4179","Australia","AU-QLD"
4947998927,"Heathcote Pharmacy","","High Street","","","","Victoria","3523","Australia","AU-VIC"
355062354,"","","Arnott Street","Edgeworth","","","New South Wales","2285","Australia","AU-NSW"
6110271668,"Dental Surgery","","Burnside Street","Deer Park","","","Victoria","3023","Australia","AU-VIC"
4379836689,"Fitzroy counselling rooms","842","Nicholson Street","Fitzroy North","","","Victoria","3068","Australia","AU-VIC"
833627572,"driftwood","36-40","Brighton Street","Bundeena","","","New South Wales","2230","Australia","AU-NSW"
704426940,"","","High Street","","Terang","","Victoria","3264","Australia","AU-VIC"
2452535839,"Ceduna District Health Services","","O'Loughlin Terrace","","","","South Australia","5690","Australia","AU-SA"
449544410,"Dorrigo Plateau Pharmacy","","Hickory Street","","","","New South Wales","2453","Australia","AU-NSW"
462748450,"","","Parsons Road","Lisarow","","","New South Wales","2250","Australia","AU-NSW"
4507511700,"Stevensons Chiropractic Clinic","","Brunker Road","Adamstown","","","New South Wales","2289","Australia","AU-NSW"
2500393579,"","106","Pirie Street","Adelaide","","","South Australia","5000","Australia","AU-SA"
364046681,"Chinchilla Pharmacy","","Colamba Street","","Chinchilla","","Queensland","4413","Australia","AU-QLD"
6576901204,"","","Ferry Wharf Circuit","Sydney Olympic Park","","","New South Wales","2127","Australia","AU-NSW"
1294229279,"Miranda Medical Center","","Karimbla Road","Miranda","","","New South Wales","2228","Australia","AU-NSW"
4865628321,"","715-723","George Street","Haymarket","","","New South Wales","2000","Australia","AU-NSW"
2261354162,"","475","Torrens Road","Woodville","","","South Australia","5014","Australia","AU-SA"
1537332750,"","21","Kratzke Road","","Highfields","","Queensland","4352","Australia","AU-QLD"
456713150,"Dentist Mark J. McKiernan","","Waterton Street","Annerley","Annerley","Greater Brisbane","Queensland","4103","Australia","AU-QLD"
5905416329,"University of Newcastle, Callaghan Campus","","University Drive","Callaghan","","","New South Wales","2308","Australia","AU-NSW"
4223010924,"","1","Santa Maria Court","","Burleigh Waters","","Queensland","4220","Australia","AU-QLD"
6052186720,"","1-3","The Strand","Chelsea","","","Victoria","3196","Australia","AU-VIC"
5756050399,"Denison Dental","","Channel Highway","","","","Tasmania","7050","Australia","AU-TAS"
4986166741,"Associated Medical Centre","","Amy Street","Campsie","","","New South Wales","2194","Australia","AU-NSW"
6243479781,"","","Short Street","Randwick","","","New South Wales","2031","Australia","AU-NSW"
3716323392,"Plenty Road Medical Clinic","105","Plenty Road","Bundoora","","","Victoria","3083","Australia","AU-VIC"
1814888806,"","","Frost Lane","Chester Hill","","","New South Wales","2162","Australia","AU-NSW"
